date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201203,VT,4642,,222822,,totalTestsViral,567067,36,,3,,,,2726,B,12/2/2020 23:59,2020-12-02T23:59:00Z,12/02 18:59,75,,2020-12-02T23:59:00Z,567067,,,4239,75,,,227464,,,,,,,,,,,50,181,1325,227464,7492,227464,1,0,b75d4cfa11245d48d5eabf8fdcba2c043093e264,0,0,0,0,0,
20201203,WA,170342,,2753107,,totalTestEncountersViral,2894367,985,10954,,,135,,,B,12/2/2020 02:59,2020-12-02T02:59:00Z,12/01 21:59,2850,10954,2020-12-02T02:59:00Z,,,,170342,2850,,2894367,,,,,,,,,,,,53,3126,0,2923449,0,2923449,45,34,694214955c3a2a68428562eebad85084698a7f93,0,0,0,0,0,
20201203,WI,426534,26826,2169970,154,totalTestEncountersViral,4517462,1754,17741,376,1853,,,331425,A+,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,3773,17741,2020-12-03T00:00:00Z,,,,399708,3562,211,4517462,2569678,,,,,,,,,,,55,5604,7354,2596658,38263,2596504,70,172,c943da612e4628706b364639dc9589677fe717f7,0,0,0,0,0,
20201203,WV,51025,7928,1120577,,posNeg,1171602,625,,169,,89,,32808,B,12/2/2020 23:59,2020-12-02T23:59:00Z,12/02 18:59,789,,2020-12-02T23:59:00Z,1163674,,,43097,748,41,,,21401,,,,,,,,,,54,1120,10801,1171602,11921,1171602,11,0,56f6e0fd5d8da3c2504656a67e149eb11e55d252,0,0,0,0,0,
20201203,WY,35078,4560,143277,,totalTestsViral,412285,234,823,,,,,28113,B,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,257,823,2020-12-03T00:00:00Z,412285,30891,377427,30518,,,,173795,,,,,,,,,,,56,571,1811,178355,3960,178355,27,14,261f55ab9f22c4d1e33536123b1364498e23846b,0,0,0,0,0,
20201202,AK,32531,,992112,,totalTestsViral,1024643,164,768,,,23,,7165,A,12/2/2020 03:59,2020-12-02T03:59:00Z,12/01 22:59,122,768,2020-12-02T03:59:00Z,1024643,39543,984058,,122,,,,,,,,,,,,,,02,697,5318,1024643,6015,1024643,0,19,a67835c9975e7a741cbe7511d7b8014f238f7381,0,0,0,0,0,
20201202,AL,256828,43656,1390351,,totalTestsPeopleViral,1603523,1801,25821,,2252,,1298,168387,A,12/2/2020 11:00,2020-12-02T11:00:00Z,12/02 06:00,3711,25821,2020-12-02T11:00:00Z,,,,213172,3326,385,,1603523,,,,73187,,,,,,,01,3928,6546,1647179,9681,1647179,73,211,4aa82c6006d2babec8c2e4268bc0d73e2681fe76,0,0,0,0,0,
20201202,AR,161521,20816,1562561,,totalTestsViral,1703266,1088,9110,393,,186,1002,142600,A+,12/2/2020 00:00,2020-12-02T00:00:00Z,12/01 19:00,2522,9110,2020-12-02T00:00:00Z,1703266,,1562561,140705,2312,210,,,,,,,,,144866,25241,21856,3300,05,2212,10306,1724082,11813,1724082,10,89,c308123d961c64d4b4a6af4322403aeaf60068bc,0,0,0,0,0,
20201202,AS,0,,1988,,totalTestsViral,1988,,,,,,,,D,11/17/2020 00:00,2020-11-17T00:00:00Z,11/16 19:00,0,,2020-11-17T00:00:00Z,1988,,,0,,,,,,,,,,,,,,,60,0,0,1988,0,1988,0,0,143aca9d5c4a0285942d475cd2eed1ff04a7e129,0,0,0,0,0,
20201202,AZ,340979,10662,1957887,,totalTestsPeopleViral,2288204,2699,26312,642,,386,,53694,A+,12/2/2020 00:00,2020-12-02T00:00:00Z,12/01 19:00,6739,26312,2020-12-02T00:00:00Z,,,,330317,6237,502,,2288204,365871,,,,,,,,,,04,3840,12811,2298866,16290,2298866,52,240,c0cd7c5dece0c9818929d1a7b8d781a133cd3a61,0,0,0,0,0,
20201202,CA,1245948,,23053178,,totalTestsViral,24299126,9365,,2121,,,,,B,12/2/2020 02:59,2020-12-02T02:59:00Z,12/01 21:59,19324,,2020-12-02T02:59:00Z,24299126,,,1245948,,,,,,,,,,,,,,,06,20759,117054,24299126,137813,24299126,113,0,a7a45a38ce8e8f1f4aa133438262997831fa0fc0,0,0,0,0,0,
20201202,CO,241172,10467,1548678,,totalTestEncountersViral,3288900,1995,14363,,,,,12996,A,12/2/2020 01:59,2020-12-02T01:59:00Z,12/01 20:59,2708,14363,2020-12-02T01:59:00Z,,,,230705,,,3288900,1779383,208687,17594,191093,,,,,,,,08,3862,7534,1789850,33359,1789850,13,247,06e35dddd9f558e512357ef10fa036211c4229b8,0,0,0,0,0,
20201202,CT,121426,7958,3206014,,posNeg,3327440,1202,12257,,,,,9800,C,12/1/2020 20:30,2020-12-01T20:30:00Z,12/01 15:30,5091,12257,2020-12-01T20:30:00Z,3319482,,,113468,4088,1003,,,,,,,,,,,49816,,09,2672,38558,3327440,41230,3327440,51,0,53fe1c6737f9f81149ea62fb96ed023657d28e55,0,0,0,0,0,
20201202,DC,21842,,679643,,totalTestEncountersViral,701485,165,,41,,18,,16070,A+,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,690,,2020-12-01T00:00:00Z,,,,,,,701485,308164,,,,,,,,,,,11,157,3919,701485,4076,701485,5,0,84c32117b9cc78f197c11a5a17b5e521515e234d,0,0,0,0,0,
